id;local_name;en_wiki_mainaffiliation;en_wiki_subaffiliations;en_wiki_age;en_wiki_aliases;en_wiki_bounty;en_wiki_dfname;en_wiki_dftype;en_wiki_first;en_wiki_height;en_wiki_occupation_actuelle;en_wiki_autres_occupations;en_wiki_origin;en_wiki_status;fr_wiki_affiliation;fr_wiki_âge;fr_wiki_aliases;fr_wiki_dfnom;fr_wiki_dftype;fr_wiki_lieuvie;fr_wiki_occupation;fr_wiki_origine;fr_wiki_première;fr_wiki_prime;fr_wiki_statut;fr_wiki_taille
izou;Izou;Whitebeard Pirates;"Kouzuki Family,Ninja-Pirate-Mink-Samurai Alliance";45;Izo;"510,000,000";;;"Chapter 553; Episode 461";192 cm;16th Division Commander;"Samurai; Retainer of the Kouzuki Family";Wano Country;Deceased;L'Équipage de Barbe BlancheFamille KozukiAlliance des Ninjas-Pirates-Minks-Samouraïs Neuf Fourreaux Rouges;45 ans;"Izou, イゾウ, Izō";;;"Pays des Wa (Kuri), Moby Dick";Commandant de la 16ème Division de L'Équipage de Barbe BlancheTireur d'ÉliteVassaux de la Famille Kozuki;Pays des Wa (Ringo);"Chapitre 553 ; Épisode 461";510.000.000;Décédé;1m92
jack;Jack;Beasts Pirates;Aucune;28;"Jack the Drought,Kangai no Jakku,Jakku";"1,000,000,000";"Zou Zou no Mi, Model: Mammoth";Ancient Zoan;"Chapter 801; Episode 746";830 cm;All-Star;"Captain of the Mammoth; De Facto Ruler of Kuri";Grand Line;Alive;Équipage des cent bêtes;28 ans;"""Jack la Sécheresse"" (旱害のジャック, Kangai no Jakku), Jack, ジャック, Jakku";"Zo Zo no Mi, modèle Mammouth, Fruit du Pachyderme, modèle Mammouth";Zoan Antique;Pays des Wa;"Pirate, Capitaine du MammouthCalamité";Grand Line;"Chapitre 801 ; Épisode 746";"1,000,000,000";Vivant;8m30
jesus-burgess;Jesus Burgess;Blackbeard Pirates;Aucune;29;"Mr. Store,Mr.,Misuta Sutoa,Champion,Chanpion,Jizasu Bajesu";"20,000,000";Riki Riki no Mi;Paramecia;"Chapter 222; Episode 146";355 cm;Titanic Captain (Captain of the First Ship);Helmsman;Grand Line;Alive;L'Équipage de Barbe Noire;29 ans;"""Mr. Store"" (Mr.（ミスター）ストア, Misutā Sutoa?), ""Champion"" (チャンピオン, Chanpion), Jesus Burgess, ジーザス･バージェス, Jīzasu Bājesu";"Riki Riki no Mi, Fruit de la Force";Paramecia;;Timonier de L'Équipage de Barbe NoireCommandant de la 1ère flotte de L'Équipage de Barbe Noire;Grand Line;"Chapitre 222 ; Épisode 146";Au moins 20.000.000;Vivant;3m55
jewelry-bonney;Jewelry Bonney;Bonney Pirates;Aucune;12;"Conney,Koni,Big Eater,O-Gurai,English versions: 'Glutton,Jueri Boni";"320,000,000";Toshi Toshi no Mi;Paramecia;"Chapter 498; Episode 392";174 cm;Pirate Captain;Princess;Mary Geoise;Alive;L'Équipage de Bonney Onze Supernovae;12 ans22 ans (estimation début)24 ans (estimation après ellipse);"""Conney"" (コニー, Konī) (Infiltration), ""La Gloutonne"" (大喰らい, Ō Gurai), Jewelry Bonney, ジュエリー・ボニー, Juerī Bonī";"Toshi Toshi no Mi, Fruit de l'Âge";Paramecia;Royaume de Sorbet;Capitaine Pirate;South Blue;"Chapitre 498 ; Épisode 392";320 000 000140 000 000;Vivante;1m74 (début)
jinbe;Jinbe;Straw Hat Pirates;"Straw Hat Grand Fleet,Sun Pirates,Ally of the Big Mom Pirates,Seven Warlords of the Sea,Ryugu Kingdom,Impel Down,Ninja-Pirate-Mink-Samurai Alliance";46;"Knight of the Sea' Jinbe,Kaikyo no Jinbe,English versions: 'First Son of the Sea,Boss Jinbe,Jinbe Oyabun,Jinbe";"1,100,000,000";;;"Chapter 528; Episode 430";301 cm;Pirate;"Helmsman; Senior Officer; Captain; Warlord of the Sea; Soldier; Prisoner of the Great Prison";Ryugu Kingdom;Alive;Équipage de Chapeau de PailleÉquipage des Pirates du Soleil Allié de L'Équipage de Big Mom Grand Corsaire Royaume Ryugu (résigné);46 ans;"JinbeiJimbei, Jinbe ""Le Paladin des Mers"" (海侠のジンベエ Kaikyō no Jinbē) ; Jinbei ""Le Preux"" (ancienne édition), Jinbe, ジンベエ, Jinbē";;;;"Pirate; TimonierCapitaine Corsaire Second Soldat (résigné)";Île des Hommes-Poissons (Royaume Ryugu);"Chapitre 528 ; Épisode 430";"1.100.000.000438,000,000250.000.00076.000.000";Vivant;3m01
johnny;Johnny;Yosaku;Roronoa Zoro's band;25;Joni;;;;"Chapter 42; Episode 19";186 cm;Bounty Hunter;Fisherman;East Blue;Alive;Yosaku;25 ans;"Johnny, ジョニー, Jonī";;;;Chasseurs de Primes;East Blue;"Chapitre 42 ; Épisode 19";;Vivant;1m86
jora;Jora;Donquixote Pirates;Aucune;61;Jora;;Ato Ato no Mi;Paramecia;"Chapter 682; Episode 608";221 cm;Pirate Officer;;North Blue;Alive;Équipage de Don Quijote;61 ans;"Jora, ジョーラ, Jōra";"Ato Ato no Mi, Fruit de l'Art";Paramecia;Spider Miles Dressrosa;Pirate et Assassin;North Blue;"Chapitre 682 ; Épisode 608";;;2m21
joz;Joz;Whitebeard Pirates;Aucune;42;"Diamond' Jozu,Daiyamondo Jozu,Jozu";Unknown;Kira Kira no Mi;Paramecia;"Chapter 234; Episode 151";503 cm;Pirate;3rd Division Commander;West Blue;Alive;L'Équipage de Barbe Blanche;42 ans;"Jaws, ""Diamant"" Joz (ダイヤモンド・ジョズ, Daiyamondo Jozu), Joz, ジョズ, Jozu";"Kira Kira no Mi, Inconnu";Paramecia;;"Commandant de la 3e Division, Pirate";West Blue;"Chapitre 234 ; Épisode 151Chapitre 0 ; Épisode 0";Inconnue;Vivant;5m03
kaidou;Kaidou;Beasts Pirates;"Rocks Pirates,Four Emperors";59;"Kaidou of the Beasts,Hyakuju no Kaido,English versions: 'Kaido,King of the Beasts,The Strongest Creature,Saikyo no Seibutsu,Wise King,Myoo,English versions: 'Deity,Kaido";"4,611,100,000";"Uo Uo no Mi, Model: Seiryu";Mythical Zoan;"Chapter 795; Episode 736";710 cm;Governor-General;"Emperor; Soldier; Apprentice";Grand Line;Unknown;L'Équipage de Rocks L'Équipage aux Cent Bêtes Quatre Empereurs Pays des Wa Onigashima;59 ans;"""Kaidou aux Cent Bêtes"" (百獣のカイドウ, Hyakujū no Kaidō)""La Plus Puissante Créature du Monde"" (この世における最強生物, Kono Yo ni Okeru Saikyō Seibutsu)""Le Roi Sage"" (明王, Myōō)""Le Roi Dragon"", Kaidou, Kaido, カイドウ, Kaidō";"Uo Uo no Mi, modèle Seiryu, Fruit du poisson version ""Dragon Azur""";Zoan Mythique;"Pays des Wa (Onigashima), Royaume de Vodka";Pirate Capitaine;Grand Line;"Chapitre 795 ; Épisode 739";4.611.100.00070.000.000;Inconnu;7m10
karasu;Karasu;Revolutionary Army;North Army;47;Karasu;"400,000,000";Susu Susu no Mi;Logia;"Chapter 593; Episode 510";265 cm;North Army Commander of the Revolutionary Army;;North Blue;Alive;Révolutionnaires;47 ans;"Karasu, Corbeau, カラス";"Susu Susu no Mi, Fruit de la suie";Logia;Baltigo Kedétrav;Commandant de la troupe Septentrionale;North Blue;"Chapitre 593 ; Épisode 510 (corbeau)Chapitre 904 ; Épisode 880";400.000.000;Vivant;2m65
karoo;Karoo;Super Spot-Billed Duck Troops;"Nefertari Vivi, Straw Hat Pirates, Baroque Works";16;Karu;;;;"Chapter 109; Episode 65";150 cm;Pet;"Royal Transport; Captain of the Super Spot-Billed Duck Troops; Pirate";Arabasta Kingdom;Alive;AlabastaBaroque Works Équipage du Chapeau de Paille L'Escadron des Super Canards;16 ans;"Karoo, Kaloo, カルー, Karū";;;;Animal de compagnieMonture;Royaume d'Alabasta;"Chapitre 109, Épisode 65";;Vivant;1m50
killer;Killer;Kid Pirates;"Kurozumi Orochi ,Ninja-Pirate-Mink-Samurai Alliance";27;"Kamazo the Manslayer,Hitokiri Kamazo,'Hitokiri Kamazo,Massacre Soldier,Satsuriku Bujin,'Murder Machine,Kira";"200,000,000";;;"Chapter 498; Episode 392";195 cm;Pirate;"Combatant; Assassin";Kutsukku Island;Unknown;L'Équipage de KidOnze Supernovae;27 ans;"""Kamazo l'Assassin"" (人斬り鎌ぞう, Hitokiri Kamazō), ""Le Massacreur"" (殺戮武人, Satsuriku Bujin), Killer, キラー, Kirā";;;;"Pirates ; Second";South Blue;"Chapitre 498 ; Épisode 392";200 000 000162 000 000;Inconnu;1m95
kinemon;Kinemon;Kouzuki Family;"Ninja-Pirate-Mink-Samurai Alliance,Nine Red Scabbards";36;"Foxfire Kin'emon,Kitsune-bi no Kin'emon,Kin'emon";;Fuku Fuku no Mi;Paramecia;"Chapter 656; Episode 580";295 cm;Samurai;"Great Elder of the Shogunate; Retainer of the Kouzuki Family; Leader of the Nine Red Scabbards; Thief";Wano Country;Alive;Famille Kozuki Neuf Fourreaux Rouges;36 ans;"""Kinemon le Renard à la Flamme"" (狐火の錦えもん Kitsune-bi no Kin'emon), Kinemon, Kinémon, 錦 えもん, Kin'emon";"Fuku Fuku no Mi, Inconnu";Paramecia;Pays des Wa (Kuri);Samouraï Épéiste Doyen du Shogunat;Pays des Wa;"Chapitre 656 ; Épisode 580";;Vivant;2m95
koby;Koby;Marines;"Alvida Pirates,SWORD,Marine 153rd Branch";18;"Hero,Eiyu,Kobi";"500,000,000";;;"Chapter 2; Episode 1";167 cm;Marine Captain;"Master Chief Petty Officer (promoted), Chore Boy (promoted); Pirate Ship Caretaker";Satsuruzo Kingdom;Alive;L'Équipage d'Alvida MarineSWORD;18 ans;"Coby, Koby, Kobby, コビー, Kobī";;;;"Capitaine, 1ère Classe Pirate Mousse";East Blue (Royaume de Satsuruzo);"Chapitre 2 ; Épisode 1";"★★★★★(500,000,000)";Vivant;1m67
kokoro;Kokoro;Tom's Workers;Aucune;72;Kokoro;;;;"Chapter 322; Episode 229";168 cm;Stationmaster;'Lovely' secretary of Tom;Ryugu Kingdom;Alive;Tom's Workers;72 ans;"Cocoro, Kokoro, ココロ";;;Water Seven (Gare de Shift);Conductrice du Puffing TomSecrétaire de charme de Tom;Île des Hommes-Poissons;"Chapitre 322 ; Épisode 229Chapitre 0 ; Épisode 0";;Vivante;1.68 m
koza;Koza;Arabasta Kingdom;"Sand-Sand Clan,Rebel Army";22;Koza;;;;"Chapter 163; Episode 93";177 cm;Environmental Minister;"Rebel Army leader; Sand-Sand Clan leader";Arabasta Kingdom;Alive;Alabasta;22 ans;"Kohza, Koza, コーザ, Kōza";;;;Ministre royal de l'environnement Chef de l'armée rebelle Chef du Clan des Sables;Royaume d'Alabasta;"Chapitre 163 ; Épisode 93";;Vivant;1m77
kozuki-hiyori;Kozuki Hiyori;Kouzuki Family;Ninja-Pirate-Mink-Samurai Alliance;26;"Komurasaki,Kozuki Hiyori";;;;"Chapter 909; Episode 892";170 cm;Oiran;;Moby Dick;Alive;Famille Kozuki;26 ans;"""Komurasaki"" (小紫, Komurasaki), Kozuki Hiyori, 光月日和, Kōzuki Hiyori";;;"Pays des Wa (Kuri, Capitale des Fleurs)";Grande courtisane;Grand Line (Moby Dick);"Chapitre 909 ; Épisode 892";;Vivante;1m70
kozuki-momonosuke;Kozuki Momonosuke;Kouzuki Family;Ninja-Pirate-Mink-Samurai Alliance;8;Kozuki Momonosuke;;"Uo Uo no Mi, Model: Seiryu (Artificial)";Mythical Zoan (Artificial);"Chapter 684; Episode 609";322 cm;Shogun;;Moby Dick;Alive;Famille Kozuki Alliance des Ninjas-Pirates-Minks-Samouraïs;8 ans (âge réel)28 ans (âge biologique);"Kozuki Momonosuke, Kozuki Momonosuké, 光月モモの助, Kōzuki Momonosuke";"Fruit de Kozuki Momonosuke (Fruit Artificiel), Inconnu";Zoan Mythique;Pays des Wa;Shogun Samouraï;Grand Line (sur le Moby Dick);"Chapitre 684 ; Épisode 609 Chapitre 657 ; Épisode 582 (mentionné)";;Vivant;1m10 (enfant)3m22 (adulte)
kureha;Kureha;Sakura Kingdom;Isshi-100;141;"Doctorine,Dokutorinu,Witch,Majo,Master of Doctors,Masuta Obu Isha,Kureha";;;;"Chapter 134; Episode 80";188 cm;Head-Doctor of the Sakura Kingdom;Leader of the Isshi-100;Drum Kingdom;Alive;Royaume des Cerisiers;141 ans;"""Sorcière"" (魔女 Majo)""Dr Kureha"" (Dr. くれは Dokutā Kureha)""Doctorine"" (ドクトリーヌ Dokutorīnu), Kureha, くれは";;;Île de Drum;Docteur;Grand Line (Île de Drum);"Chapitre 134 ; Épisode 80Chapitre 0 ; Épisode 0";;Vivante;1m88
kuromarimo;Kuromarimo;Bliking Pirates;Drum Kingdom;30;Kuromarimo;;;;"Chapter 131; Episode 79";186 cm;Evil Magistrate (Magistrate);Pirate;Drum Kingdom;Alive;"Équipage de Wapol (dissous), Royaume des Cerisiers";30 ans;"Kuromarimo, クロマーリモ, Kuromārimo";;;;Magistrat Pirate;Royaume de Drum;"Chapitre 131 ; Épisode 79";;Vivant;1m86
kuroobi;Kuroobi;Arlong Pirates;Sun Pirates;38;Kuro'obi;"9,000,000";;;"Chapter 69; Episode 31";252 cm;Pirate Officer;;Ryugu Kingdom;Alive;Équipage d'ArlongÉquipage des Pirates du Soleil;38 ans;"Kuroobi, クロオビ, Kuro'obi";;;Arlong Park;Pirate;Île des hommes-poissons (Royaume Ryugu);"Chapitre 69 ; Épisode 31";9.000.000;;2m52
kuzan;Kuzan;Blackbeard Pirates;Marines;49;"Aokiji,literally meaning 'Blue Pheasant,Kuzan";;Hie Hie no Mi;Logia;"Chapter 303; Episode 225";298 cm;Titanic Captain (Captain of the Tenth Ship);"Admiral; Vice Admiral";Vespa Kingdom territory;Alive;Équipage de Barbe NoireMarines Pègre (assumé);49 ans;"""Aokiji"" (青（あお）キジ?, litt. ""Faisan Bleu""), Kuzan, クザン";"Hie Hie no Mi, Fruit du givre";Logia;;Commandant du 10e navire de Barbe Noire.Amiral Vice-Amiral;South Blue (Royaume Vespa);"Chapitre 303 ; Épisode 225Chapitre 0 ; Épisode 0";;Vivant;2m98
kyros;Kyros;Corrida Colosseum;Riku Family;44;"Thunder Soldier of Rage,Ikari no Kaminari Hei,'The Angry Lightning Soldier,The Invincible Gladiator,Kyurosu";Unknown;;;"Chapter 702; Episode 631";298 cm;Gladiator;Riku Royal Army Captain;Dressrosa;Alive;Colisée Corrida Forces Royales Riku;34 ans (biologiquement)44 ans (chronologiquement);"""Le Soldat Fureur Éclair"" ""Le Gardien du Colisée"" ""Roi Des Gladiateur"" ""Monsieur Soldat"" (Rebecca), Kyros, キュロス, Kyurosu";;;;Gladiateur Commandant des Forces Royales Riku Épéiste;Dressrosa;"Chapitre 702 ; Épisode 631 (Soldat Jouet)";Inconnue;;2m98
laboon;Laboon;Rumbar Pirates;Crocus;53;Rabun;;;;"Chapter 102; Episode 62";40000 cm;;;West Blue;Alive;L'Équipage du Rumbar Crocus;53 ans;"Laboon, ラブーン, Rabūn";;;;Animal;West Blue;"Chapitre 102 ; Épisode 62Chapitre 0 ; Épisode 0";;;400m (longueur)
laffitte;Laffitte;Blackbeard Pirates;Aucune;41;"Demon Sheriff,Oni Hoankan,Rafitto";"42,200,000";;;"Chapter 234; Episode 151";340 cm;Titanic Captain (Captain of the Fifth Ship);"Navigator; Sheriff";West Blue;Alive;L'Équipage de Barbe NoireGouvernement Mondial;41 ans;"""Le Shérif Démoniaque"" (鬼（おに）保（ホ）安（アン）官（カン）, Oni Hoankan?), Laffitte, ラフィット, Rafitto";;;Île des Pirates;Pirate Navigateur Messager Gardien de la Paix;West Blue;"Chapitre 234 ; Épisode 151";Au moins 42.200.000;Vivant;3m40
lao-g;Lao G;Donquixote Pirates;Aucune;70;Rao Ji;"61,000,000";;;"Chapter 682; Episode 608";157 cm;Pirate Officer;;North Blue;Alive;Équipage de Don Quijote;70 ans;"Lao G, ラオG, Rao G";;;Spider Miles Dressrosa;Pirate;North Blue;"Chapitre 682 ; Épisode 608";61.000.000;Vivant;1.57 m
leo;Leo;Tontatta Kingdom;Straw Hat Grand Fleet;25;"Warrior,Senshi,Reo";;Nui Nui no Mi;Paramecia;"Chapter 710; Episode 640";23 cm;Captain of the Fifth Ship of the Straw Hat Grand Fleet;Captain of the Tontatta Pirates;Green Bit;Alive;Allié de L'Équipage du Chapeau de PailleNainRoyaume de Tontatta;25 ans;"Léo, レオ, Reo";"Nui Nui no Mi, Fruit Machine de Couture";Paramecia;Dressrosa;GuerrierCapitaine de l'armée de TontattaPirate;Green Bit;"Chapitre 710 ; Épisode 640";;Vivant;23cm
little-oars-jr;Little Oars Jr.;Little Pirates;Subordinate of the Whitebeard Pirates;72;Ritoru Ozu Junia;"550,000,000";;;"Chapter 554; Episode 463";6000 cm;Pirate Captain;;Grand Line;Unknown;Subordonné de L'Équipage de Barbe Blanche Little Pirates;72 ans;"Little Oars Jr., リトルオーズJr., Ritoru Ōzu Junia";;;;Capitaine Pirate;Grand Line;"Chapitre 554 ; Épisode 463";550.000.000;Inconnu;60m
lucky-roux;Lucky Roux;Red Hair Pirates;Aucune;35;Rakki Ru;Unknown;;;"Chapter 1; Episode 4";241 cm;Pirate;"Senior Officer; Cook";South Blue;Alive;L'Équipage du Roux;35 ans;"Lucky Roux, Lucky Roo, ラッキー・ルウ, Rakkī Rū";;;;PirateCuisinier;South Blue;"Chapitre 1 ; Épisode 4";Inconnue;Vivant;2m41
machvise;Machvise;Donquixote Pirates;Aucune;52;Mahhabaisu;"11,000,000";Ton Ton no Mi;Paramecia;"Chapter 682; Episode 608";440 cm;Pirate Officer;;North Blue;Alive;L'Équipage de Don Quichotte Doflamingo;52 ans;"Machvise, マッハバイス, Mahhabaisu";"Ton Ton no Mi, Fruit des Tonnes";Paramecia;Spider Miles Dressrosa;Pirate;North Blue;"Chapitre 682 ; Épisode 608";11.000.000;Vivant;4.40 m
magellan;Magellan;Impel Down;Aucune;47;Mazeran;;Doku Doku no Mi;Paramecia;"Chapter 528; Episode 425";491 cm;Vice Warden;Chief Warden;Grand Line;Alive;"Gouvernement Mondial ; Impel Down";47 ans;"Magellan, マゼラン, Mazeran";"Doku Doku no Mi, Fruit du Venin";Paramecia;Impel Down;Gardien en Chef Directeur Vice Directeur;Grand Line;"Chapitre 528 ; Épisode 425Chapitre 0 ; Épisode 0";;Vivant;4.91 m
manboshi;Manboshi;Neptune Family;Aucune;20;Manboshi;;;;"Chapter 609; Episode 528";473 cm;Prince of the Ryugu Kingdom;;Ryugu Kingdom;Alive;Île des Hommes-Poissons;20 ans;"Manboshi, マンボシ";;;;Prince;Île des Hommes-Poissons (Royaume Ryugu);"Chapitre 609 ; Épisode 528";;Vivant;4m73
marco;Marco;Whitebeard Pirates;Ninja-Pirate-Mink-Samurai Alliance;45;"Marco the Phoenix,Fushicho Maruko,Maruko";"1,374,000,000";"Tori Tori no Mi, Model: Phoenix";Mythical Zoan;"Chapter 234; Episode 151";203 cm;1st Division Commander;"Doctor; Apprentice";Grand Line;Alive;Équipage de Barbe BlancheAlliance des Ninjas-Pirates-Minks-Samouraïs;45 ans;"""Marco Le Phénix"" (不（フ）死（シ）鳥（チョウ）マルコ, Fushichō Maruko), Marco, マルコ, Maruko";"Tori Tori no Mi, modèle Phoenix, Fruit du Volatile, modèle Phénix";Zoan Mythique;;Commandant de la première division de l'équipage de Barbe BlanchePirateDocteurMousse (Pirate);Grand Line;"Chapitre 234 ; Épisode 151Chapitre 0 ; Épisode 0";1.374.000.000;Vivant;2m03
marguerite;Marguerite;Kuja Pirates;Aucune;18;Magaretto;;;;"Chapter 514; Episode 408";178 cm;Pirate;;Amazon Lily;Alive;KujasL'Équipage des Pirates Kuja;18 ans;"Marguerite, Margaret, マーガレット, Māgaretto";;;Amazon Lily;PirateGuerrière Kuja;Calm Belt (Amazon Lily);"Chapitre 514 ; Épisode 409";;Vivante;1m78
marianne;Marianne;New Spiders Cafe;Baroque Works;18;"Miss Goldenweek,Misu Goruden Wiku,Odex/Funimation: 'Miss Golden Week,4Kids: 'Ms. April Fools Day,Flag-Bearer of Freedom,Jiyu no Kishu Mariannu,Mariannu";"29,000,000";;;"Chapter 117; Episode 70";145 cm;Cafe Employee;Officer Agent;North Blue;Alive;Baroque Works Spider's Café;18 ans;"""Miss Goldenweek"" (ミス・ゴールデンウィーク, Misu Gōruden Wīku), ""Le Drapeau de la Liberté"" (自由の旗手 Jiyū no Kishu), Marianne, マリアンヌ, Mariannu";;;;Co-propriétaire du Spiders Café Artiste Peintre Agente Officière de Baroque Works;North Blue;"Chapitre 117 ; Épisode 70";29.000.000;;1m45
masira;Masira;Saruyama Alliance;Masira Pirates;25;"Salvage King' Masira,Sarubeji-O Mashira,Mashira";"23,000,000";;;"Chapter 219; Episode 144";345 cm;Pirate;Boss;North Blue;Alive;Forces Spéciales Simiesques;25 ans;"Masira, Masira le ""Roi du Repêchage"" (サルベージ王マシラ, Sarubēji-Ō Mashira), マシラ, Mashira";;;Jaya;"Capitaine ; Pirate";North Blue;"Chapitre 219 ; Épisode 144";23.000.000;Vivant;3m45
meuh-meuh;Meuh-Meuh;Arlong Pirates;Caribou Pirates;16;"Momoo the Sea Cow,Kaigyu Momu,Momu";;;;"Chapter 73; Episode 31";3600 cm;Arlong Pirates' pet;Caribou Pirates' steed;Grand Line;Alive;Équipage d'Arlong Équipage de Caribou Faux Équipage du Chapeau de Paille;16 ans;"Meuh-Meuh, モーム, Mōmu";;;;Animal de compagnieTireur de navire;Grand Line;"Chapitre 73 ; Épisode 31";;Vivant;36m
mikita;Mikita;New Spiders Cafe;Baroque Works;24;"Miss Valentine,Misu Barentain,VIZ/4Kids: 'Ms. Valentine,Courier,Hakobi-ya,Mikita";"7,500,000";Kiro Kiro no Mi;Paramecia;"Chapter 110; Episode 65";177 cm;Cafe Patissier;Officer Agent;West Blue;Alive;Baroque Works Spider's Café;24 ans;"""Miss Valentine"" (ミス・バレンタイン, Misu Barentain), ""La Transporteuse"" (運び屋, Hakobi-ya), Mikita, ミキータ, Mikīta";"Kilo Kilo no Mi, Fruit Kilo-Kilo";Paramecia;;Co-propriétaire du Spiders Café Chocolatière Agente Officière de Baroque Works;West Blue;"Chapitre 110 ; Épisode 65";7.500.000;Vivante;1m77
momonga;Momonga;Marines G-1 Branch;Aucune;48;Momonga;"500,000,000";;;"Chapter 420; Episode 302";251 cm;Vice Admiral;Base Commander of G-1;Grand Line;Alive;MarinesG-1;48 ans;"Momonga, モモンガ";;;;Vice Amiral;Grand Line;"Chapitre 420 ; Épisode 302Chapitre 0 ; Épisode 0";;Vivant;2m51
monkey-d-dragon;Monkey D. Dragon;Revolutionary Army;"Clan of D.,Freedom Fighters,Marines";55;"Rebellious Dragon,Hangyaku Ryu,Funimation: 'The Insurgent Serpent,World's Worst Criminal,Sekai Saiaku no Hanzaisha,Funimation: 'World's Most Heinous Criminal,Monki Di Doragon";Unknown;;;"Chapter 100; Episode 52";256 cm;Supreme Commander of the Revolutionary Army;Captain of the Freedom Fighters;Goa Kingdom;Alive;Armée de la LibertéArmée RévolutionnaireMarine;55 ans;"""L'Homme Le Plus Dangereux Du Monde"" (世界最悪の犯罪者, Sekai Saiaku no Hanzaisha)""Dragon le Révolutionnaire"" (革命家ドラゴン, Kakumeika Doragon), Monkey D. Dragon, モンキー・D・ドラゴン, Monkī Dī Doragon";;;;Chef de l'armée révolutionnaireMarine;East Blue (Royaume de Goa);"Chapitre 100 ; Épisode 52 Chapitre 0 ; Épisode 0";Inconnue;Vivant;2m56
monkey-d-garp;Monkey D. Garp;Marines;Clan of D.;78;"Garp the Fist,Genkotsu no Gapu,Hero of the Marines,Kaigun no Eiyu,'Naval Hero,Monki Di Gapu";"3,000,000,000";;;"Chapter 92 (cover); Episode 68";287 cm;Vice Admiral;Instructor;Goa Kingdom;Alive;Marines;78 ans;"Garp ""la poigne"" (ゲンコツのガープ, Genkotsu no Gāpu)""Héros de la Marine"" (海軍の英雄, Kaigun no Eiyū)""Héros de la Légende"" (伝説の英雄, Densetsu no Eiyū), Monkey D. Garp, モンキー・D（ディー）・ガープ, Monkī Dī Gāpu";;;;InstructeurVice-Amiral;East Blue (Royaume de Goa);"Chapitre 92 ; Épisode 68";"(3,000,000,000)";Vivant;2m87
monkey-d-luffy;Monkey D. Luffy;Straw Hat Pirates;"Straw Hat Grand Fleet,Four Emperors,Clan of D.,Dadan Family,Baratie,Impel Down,Ninja-Pirate-Mink-Samurai Alliance";19;"Lucy,Rushi,Luffy-tarou,Rufitaro,English versions: 'Luffytaro,Luffy-no-Umi,Rufinoumi,Joy Boy,Joi Boi,Straw Hat Luffy,Mugiwara no Rufi,Monki Di Rufi";"3,000,000,000";"Gomu Gomu no Mi(Hito Hito no Mi, Model: Nika)";Paramecia(Mythical Zoan);"Chapter 1; Episode 1";174 cm;Pirate Captain;"Emperor; Senior Captain of the Grand Fleet; Prisoner; Chore Boy; Bandit";Foosha Village;Alive;"Équipage de Chapeau de Paille, La Grande Flotte du Chapeau de Paille, Quatre Empereurs, Alliance des Ninjas-Pirates-Minks-Samouraïs, Famille Dadan Impel Down";7 ans (Chapitre 1)17 ans (Chapitre 1 à 597)19 ans (Chapitre 598 à aujourd'hui);"""Lucy"" (ルーシー, Rūshī)""Luffy-tarou"" (ルフィ太郎, Rufitarō, Version Française: ""Luffy-taro"")""Luffy-no-Umi"" (ルフィの海, Rufinoumi)Joy Boy (ジョイボーイ, Joi Bōi), ""Luffy au Chapeau de Paille""(麦わらのルフィ, Mugiwara no Rufi)""Cinquième Empereur"", Monkey D. Luffy, モンキー・D・ルフィ, Monkī Dī Rufi";"Gomu Gomu no Mi, Fruit du CaoutchoutierFruit du Gum-Gum";Paramecia;Village de Fuchsia Mont Corvo Ruskaina;Capitaine PirateEmpereur PirateLeader d'une Grande FlottePrisonnier Bandit Garçon de corvée (temporairement);East Blue (Royaume de Goa);"Chapitre 1; Épisode 1";"3,000,000,0001,500,000,000500,000,000400,000,000300,000,000100,000,00030,000,000";Vivant;91cm (enfant)1m721m74 (après ellipse)
morgans;Morgans;World Economy News Paper;Underworld;53;"Big News,Biggu Nyusu,Moruganzu";;"Tori Tori no Mi, Model: Albatross";Zoan;Episode 830 (actual);305 cm;World Economy News Paper President;Emperor of the Underworld;Grand Line;Alive;World Economy News Paper Pègre;53 ans;"""Big News"" (ビッグニュース, Biggu Nyūsu), Morgans, モルガンズ, Moruganzu";"Tori Tori no Mi, Modèle Albatros";Zoan;;"Président du journal World Economy News ; Empereur de la pègre";Grand Line;"Chapitre 860 ; Épisode 828";;Vivant;3m05
morge;Morge;Cross Guild;"Buggy's Delivery,Buggy and Alvida Alliance,Buggy Pirates";29;"Beast Tamer,Moju-tsukai no Moji,Beast Breaker,4Kids,Moji";;;;"Chapter 9; Episode 6";197 cm;Pirate;First Mate;East Blue;Alive;Équipage du ClownSecond de l'Équipage du ClownDresseur de Fauves;29 ans;"Morge ""le Dresseur de Fauves"" (猛獣使いのモージ, Mōjū-tsukai no Mōji), Morge, モージ, Mōji";;;;PirateSecond;East Blue;"Chapitre 9 ; Épisode 6";;Vivant;1m97
